Date,Hour,Market Demand,Ontario Demand
2017-01-01,1,17172,13522
2017-01-01,2,16757,13117
2017-01-01,3,16370,12816
2017-01-01,4,16075,12605
2017-01-01,5,16050,12563
2017-01-01,6,15797,12544
2017-01-01,7,15861,12758
2017-01-01,8,16137,13065
2017-01-01,9,16143,13367
2017-01-01,10,16530,13644
2017-01-01,11,16628,13728
2017-01-01,12,16637,13555
2017-01-01,13,16596,13567
2017-01-01,14,16515,13441
2017-01-01,15,16623,13442
2017-01-01,16,16986,13926
2017-01-01,17,17892,14942
2017-01-01,18,19171,16279
2017-01-01,19,19037,16313
2017-01-01,20,18700,16018
2017-01-01,21,18776,15787
2017-01-01,22,18172,15275
2017-01-01,23,17406,14615
2017-01-01,24,16795,13847
2017-01-02,1,16198,13274
2017-01-02,2,16198,13020
2017-01-02,3,15843,12780
2017-01-02,4,15560,12669
2017-01-02,5,15672,12746
2017-01-02,6,15974,13027
2017-01-02,7,16690,13583
2017-01-02,8,17277,14408
2017-01-02,9,17556,14614
2017-01-02,10,17514,14630
2017-01-02,11,17488,14535
2017-01-02,12,17822,14501
2017-01-02,13,17807,14509
2017-01-02,14,17875,14528
2017-01-02,15,18397,14879
2017-01-02,16,18766,15462
2017-01-02,17,19315,16443
2017-01-02,18,20383,17711
2017-01-02,19,20507,17411
2017-01-02,20,20430,17173
2017-01-02,21,19960,16782
2017-01-02,22,19203,16310
2017-01-02,23,18702,15439
2017-01-02,24,17088,14325
2017-01-03,1,16123,13642
2017-01-03,2,16172,13302
2017-01-03,3,16311,13050
2017-01-03,4,15965,12983
2017-01-03,5,16080,13044
2017-01-03,6,16831,13552
2017-01-03,7,17822,14737
2017-01-03,8,18915,16068
2017-01-03,9,19255,16476
2017-01-03,10,19303,16923
2017-01-03,11,19515,17231
2017-01-03,12,19998,17510
2017-01-03,13,19792,17448
2017-01-03,14,19232,17494
2017-01-03,15,19169,17557
2017-01-03,16,19407,17629
2017-01-03,17,20038,18121
2017-01-03,18,20737,18981
2017-01-03,19,20702,18626
2017-01-03,20,20506,18359
2017-01-03,21,19946,17918
2017-01-03,22,19504,17254
2017-01-03,23,18286,16077
2017-01-03,24,17734,14858
2017-01-04,1,17070,13984
2017-01-04,2,16538,13488
2017-01-04,3,16293,13227
2017-01-04,4,16127,13013
2017-01-04,5,16034,13074
2017-01-04,6,16685,13586
2017-01-04,7,17788,14759
2017-01-04,8,18857,15944
2017-01-04,9,19117,16278
2017-01-04,10,19402,16546
2017-01-04,11,19675,16766
2017-01-04,12,19768,16923
2017-01-04,13,19883,16990
2017-01-04,14,20031,17173
2017-01-04,15,20234,17292
2017-01-04,16,20563,17612
2017-01-04,17,21105,18206
2017-01-04,18,22167,19327
2017-01-04,19,21879,19070
2017-01-04,20,21524,18868
2017-01-04,21,21467,18643
2017-01-04,22,21005,18169
2017-01-04,23,19999,17201
2017-01-04,24,18811,16106
2017-01-05,1,18315,15382
2017-01-05,2,17871,14926
2017-01-05,3,17781,14625
2017-01-05,4,17625,14506
2017-01-05,5,17414,14586
2017-01-05,6,18073,15135
2017-01-05,7,18959,16318
2017-01-05,8,20206,17511
2017-01-05,9,20242,17784
2017-01-05,10,20760,17978
2017-01-05,11,20665,17920
2017-01-05,12,20840,17992
2017-01-05,13,20516,17902
2017-01-05,14,20519,17954
2017-01-05,15,20596,18052
2017-01-05,16,20920,18301
2017-01-05,17,21283,18931
2017-01-05,18,22499,20090
2017-01-05,19,22260,19787
2017-01-05,20,22241,19573
2017-01-05,21,21444,19330
2017-01-05,22,20792,18688
2017-01-05,23,19563,17610
2017-01-05,24,18908,16545
2017-01-06,1,18286,15843
2017-01-06,2,18046,15342
2017-01-06,3,18195,15110
2017-01-06,4,18027,15012
2017-01-06,5,18292,15154
2017-01-06,6,18656,15720
2017-01-06,7,19788,16885
2017-01-06,8,20879,18091
2017-01-06,9,21181,18268
2017-01-06,10,21280,18154
2017-01-06,11,20952,17687
2017-01-06,12,20299,17439
2017-01-06,13,20368,17393
2017-01-06,14,20408,17393
2017-01-06,15,20857,17431
2017-01-06,16,20924,17742
2017-01-06,17,21750,18589
2017-01-06,18,22822,19911
2017-01-06,19,22813,19745
2017-01-06,20,22349,19529
2017-01-06,21,21769,19303
2017-01-06,22,21187,18576
2017-01-06,23,20115,17714
2017-01-06,24,19066,16586
2017-01-07,1,18651,15825
2017-01-07,2,18128,15336
2017-01-07,3,17699,15053
2017-01-07,4,17940,14951
2017-01-07,5,17869,14935
2017-01-07,6,18289,15246
